0.301;0.833;0.043;0.000;0.800;0.333;0.615;0.600;0.000;1.000;0.022;0.000;0.398;0.000;<=50K
0.452;0.167;0.047;0.000;0.800;0.000;0.308;0.400;0.000;1.000;0.000;0.000;0.122;0.000;<=50K
0.288;0.000;0.137;0.200;0.533;0.167;0.462;0.600;0.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.493;0.000;0.150;0.133;0.400;0.000;0.462;0.400;1.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.151;0.000;0.221;0.000;0.800;0.000;0.385;0.000;1.000;0.000;0.000;0.000;0.398;0.300;<=50K
0.274;0.000;0.184;0.667;0.867;0.000;0.308;0.000;0.000;0.000;0.000;0.000;0.398;0.000;<=50K
0.438;0.000;0.100;0.467;0.267;0.833;0.154;0.600;1.000;0.000;0.000;0.000;0.153;0.450;<=50K
0.479;0.167;0.133;0.200;0.533;0.000;0.308;0.400;0.000;1.000;0.000;0.000;0.449;0.000;>50K
0.192;0.000;0.022;0.667;0.867;0.333;0.385;0.600;0.000;0.000;0.141;0.000;0.500;0.000;>50K
0.342;0.000;0.099;0.000;0.800;0.000;0.308;0.400;0.000;1.000;0.052;0.000;0.398;0.000;>50K
0.274;0.000;0.181;0.067;0.600;0.000;0.308;0.400;1.000;1.000;0.000;0.000;0.806;0.000;>50K
0.178;0.833;0.087;0.000;0.800;0.000;0.385;0.400;0.250;1.000;0.000;0.000;0.398;0.175;>50K
0.082;0.000;0.074;0.000;0.800;0.333;0.615;0.200;0.000;0.000;0.000;0.000;0.296;0.000;<=50K
0.205;0.000;0.130;0.333;0.733;0.333;0.231;0.600;1.000;1.000;0.000;0.000;0.500;0.000;<=50K
0.233;0.000;0.158;0.533;0.200;0.000;0.769;0.400;0.500;1.000;0.000;0.000;0.449;0.500;<=50K
0.110;0.167;0.111;0.200;0.533;0.333;0.692;0.200;0.000;1.000;0.000;0.000;0.347;0.000;<=50K
0.205;0.000;0.118;0.200;0.533;0.333;0.538;1.000;0.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.288;0.000;0.010;0.133;0.400;0.000;0.231;0.400;0.000;1.000;0.000;0.000;0.500;0.000;<=50K
0.356;0.167;0.189;0.667;0.867;0.167;0.308;1.000;0.000;0.000;0.000;0.000;0.449;0.000;>50K
0.315;0.000;0.122;0.867;1.000;0.000;0.385;0.400;0.000;1.000;0.000;0.000;0.602;0.000;>50K
0.507;0.000;0.196;0.200;0.533;0.500;0.154;1.000;1.000;0.000;0.000;0.000;0.194;0.000;<=50K
0.247;0.500;0.043;0.467;0.267;0.000;0.692;0.400;1.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.356;0.000;0.070;0.133;0.400;0.000;0.769;0.400;0.000;1.000;0.000;0.469;0.398;0.000;<=50K
0.575;0.000;0.065;0.200;0.533;0.167;0.000;1.000;0.000;0.000;0.000;0.000;0.398;0.000;<=50K
0.534;0.667;0.138;0.000;0.800;0.000;0.000;0.400;0.000;1.000;0.000;0.000;0.398;0.000;>50K
0.027;0.000;0.105;0.200;0.533;0.333;0.077;0.200;0.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.301;0.000;0.240;0.200;0.533;0.167;0.308;0.600;0.000;1.000;0.000;0.000;0.806;0.000;<=50K
0.438;0.000;0.122;0.200;0.533;0.000;0.077;0.400;0.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.082;0.667;0.120;0.333;0.733;0.333;0.923;0.600;0.000;1.000;0.000;0.000;0.520;0.000;<=50K
0.041;0.000;0.171;0.067;0.600;0.333;0.231;0.200;1.000;1.000;0.000;0.000;0.439;0.000;<=50K
0.384;0.000;0.254;0.000;0.800;0.167;0.308;0.200;0.000;1.000;0.000;0.323;0.398;0.000;<=50K
0.178;0.500;0.031;0.067;0.600;0.000;0.615;0.200;0.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.068;0.833;0.202;0.067;0.600;0.000;0.154;0.400;1.000;1.000;0.000;0.000;0.143;0.000;<=50K
0.425;0.000;0.155;0.133;0.400;0.333;0.538;1.000;0.000;1.000;0.000;0.000;0.398;0.075;<=50K
0.055;0.000;0.125;0.067;0.600;0.333;0.538;0.200;0.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.027;0.000;0.361;0.200;0.533;1.000;0.615;0.000;0.000;0.000;0.000;0.000;0.245;0.000;<=50K
0.425;0.167;0.171;0.333;0.733;0.000;0.385;0.400;0.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.192;0.000;0.336;0.467;0.267;0.000;0.538;0.400;0.000;1.000;0.000;0.000;0.429;0.000;<=50K
0.493;0.167;0.051;0.000;0.800;0.000;0.385;0.400;0.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.096;0.000;0.108;0.000;0.800;0.000;0.000;0.400;0.000;1.000;0.000;0.000;0.500;0.000;<=50K
0.438;0.000;0.055;0.200;0.533;0.500;0.615;1.000;0.000;0.000;0.000;0.000;0.398;0.000;<=50K
0.110;0.000;0.188;0.200;0.533;0.333;0.462;0.600;0.000;1.000;0.000;0.000;0.347;0.000;<=50K
0.548;0.500;0.220;0.000;0.800;0.000;0.385;0.400;1.000;1.000;0.000;0.000;0.398;0.000;>50K
0.493;0.000;0.089;0.200;0.533;0.000;0.538;0.400;0.000;1.000;0.000;0.000;0.378;0.000;<=50K
0.370;0.000;0.078;0.667;0.867;0.167;0.308;1.000;0.000;0.000;0.000;0.000;0.398;0.000;<=50K
0.329;0.833;0.060;0.400;0.667;0.000;0.077;0.400;0.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.164;0.000;0.175;0.400;0.667;0.333;0.385;0.600;0.000;1.000;0.000;0.000;0.429;0.000;<=50K
0.110;0.000;0.013;0.067;0.600;0.000;0.308;0.000;0.750;0.000;0.000;0.000;0.398;0.000;<=50K
0.411;0.000;0.026;0.267;0.933;0.000;0.385;0.000;0.000;0.000;0.000;0.437;0.602;0.350;>50K
0.452;0.500;0.162;0.000;0.800;0.167;0.308;0.600;0.000;1.000;0.000;0.000;0.551;0.000;>50K
0.411;0.333;0.065;0.200;0.533;0.167;0.308;0.600;0.000;1.000;0.000;0.000;0.602;0.000;<=50K
0.356;0.000;0.152;0.067;0.600;0.000;0.000;0.400;0.000;1.000;0.000;0.000;0.398;0.000;>50K
0.397;0.000;0.138;0.933;0.133;0.000;0.538;0.400;0.000;1.000;0.000;0.000;0.398;0.500;<=50K
0.247;0.000;0.029;0.400;0.667;0.000;0.154;0.400;0.000;1.000;0.000;0.000;0.398;0.075;<=50K
0.329;0.000;0.091;0.200;0.533;0.000;0.615;0.400;0.000;1.000;0.000;0.000;0.480;0.000;<=50K
0.178;0.000;0.119;0.200;0.533;0.000;0.538;0.400;0.000;1.000;0.050;0.000;0.398;0.000;<=50K
0.178;0.000;0.031;0.000;0.800;0.000;0.231;0.400;0.000;1.000;0.024;0.000;0.398;0.000;<=50K
0.425;0.000;0.092;0.200;0.533;0.000;0.769;0.400;0.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.342;0.000;0.070;0.867;1.000;0.000;0.385;0.400;0.000;1.000;0.000;0.000;0.449;0.000;>50K
0.164;0.000;0.062;0.067;0.600;0.167;0.000;0.600;0.000;1.000;0.000;0.000;0.582;0.000;<=50K
0.260;0.000;0.096;0.200;0.533;0.000;0.077;0.400;0.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.151;0.000;0.115;0.067;0.600;0.167;0.615;0.600;0.000;0.000;0.000;0.000;0.398;0.000;<=50K
0.493;0.000;0.106;0.200;0.533;0.000;0.615;0.000;0.000;0.000;0.000;0.000;0.398;0.000;>50K
0.438;0.333;0.121;0.067;0.600;0.000;0.308;0.400;0.000;1.000;0.000;0.000;0.500;0.000;>50K
0.027;0.000;0.060;0.067;0.600;0.333;0.385;0.200;0.000;1.000;0.000;0.000;0.316;0.000;<=50K
0.192;0.000;0.201;0.000;0.800;0.500;0.231;0.200;1.000;0.000;0.000;0.000;0.398;0.000;<=50K
0.164;0.167;0.101;0.000;0.800;0.000;0.231;0.400;0.000;1.000;0.000;0.000;0.704;0.000;>50K
0.082;0.000;0.135;0.067;0.600;0.333;0.538;0.600;0.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.849;0.000;0.075;0.067;0.600;0.000;0.385;0.800;0.000;1.000;0.000;0.000;0.194;0.000;<=50K
0.137;0.000;0.136;0.200;0.533;0.333;0.154;0.200;0.000;1.000;0.000;0.000;0.398;0.500;<=50K
0.315;0.000;0.013;0.333;0.733;0.000;0.615;0.400;0.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.014;0.000;0.201;0.133;0.400;0.333;0.154;0.200;0.000;0.000;0.000;0.000;0.214;0.000;<=50K
0.192;0.667;0.076;0.533;0.200;0.000;0.692;0.400;0.000;1.000;0.000;0.000;0.398;0.000;<=50K
0.014;0.000;0.294;0.200;0.533;0.333;0.231;0.600;0.000;1.000;0.000;0.000;0.296;0.000;<=50K
0.479;0.000;0.179;0.000;0.800;0.000;0.154;0.400;0.000;1.000;0.000;0.000;0.398;0.300;<=50K
0.397;0.000;0.026;0.200;0.533;0.000;0.154;0.000;0.000;0.000;0.000;0.000;0.398;0.000;<=50K
0.575;0.000;0.099;0.200;0.533;0.000;0.231;0.400;0.000;1.000;0.000;0.000;0.480;0.000;<=50K
0.370;0.000;0.224;0.200;0.533;0.167;0.077;0.600;0.000;0.000;0.143;0.000;0.398;0.000;>50K
0.493;0.000;0.226;0.200;0.533;0.167;0.231;0.200;0.000;0.000;0.000;0.000;0.347;0.000;<=50K
